rs111546,rs679512,rs601084,rs711504,rs677636,rs776914,rs707881,rs045071,rs023502,rs350111,rs943580,rs710834,rs873041,rs907292,rs869720,rs845434,rs970602,rs467442,rs568502,rs789349,rs483698,rs257422,rs304539,rs540465,rs460053,rs090634,rs902453,rs556112,rs651810,rs081827,rs657122,rs523523,rs247716,rs732255,rs013720,rs274103,rs693822,rs269238,rs115265,rs254030,rs683489,rs262589,rs975021,rs342947,rs265436,rs817723,rs859372,rs014342,rs620579,rs711571
7.626572e-02,4.490455e-01,6.694447e-01,4.178626e-02,4.313955e-01,7.355741e-01,5.848733e-01,7.888990e-01,6.601364e-01,3.210137e-01,3.856418e-01,2.342417e-01,9.024992e-01,7.854649e-02,3.515598e-01,7.269492e-02,5.289084e-01,5.465803e-01,5.936347e-01,1.673325e-01,9.093095e-01,8.663857e-01,5.872657e-01,6.142460e-02,3.551286e-01,2.262926e-01,6.185732e-01,4.392868e-01,2.586661e-01,1.170901e-01,8.584600e-01,1.147153e-01,1.377681e-01,8.257639e-01,6.335868e-01,1.484751e-01,7.040794e-01,6.947312e-01,8.390061e-01,5.184380e-01,9.457116e-01,1.233588e-01,4.864443e-01,1.073182e-02,6.750355e-01,4.457824e-01,7.794139e-01,1.299340e-02,6.246612e-01,9.589863e-01
7.960088e-02,2.615576e-01,5.226935e-01,2.182311e-01,7.430082e-01,1.357111e-01,3.074605e-01,5.600910e-01,9.269578e-01,2.984266e-01,7.703086e-01,2.139789e-01,1.415438e-01,8.746546e-01,3.376293e-01,7.402113e-01,6.954332e-01,8.952332e-01,7.918899e-01,2.666085e-01,9.974622e-01,9.469834e-01,8.402341e-01,3.753543e-01,6.615079e-01,6.394956e-01,6.113050e-01,9.274602e-01,7.287844e-01,9.498682e-01,5.737464e-01,5.045193e-02,5.496419e-01,7.066835e-01,4.648763e-01,8.239699e-01,8.704766e-02,7.576908e-01,4.830079e-01,8.934362e-01,3.304176e-01,7.664166e-01,5.919239e-01,7.913525e-02,4.741377e-02,8.007466e-01,8.069592e-01,7.165568e-01,2.095675e-01,5.207660e-01
4.644251e-01,9.339363e-01,1.765257e-01,8.539315e-01,2.422164e-01,6.898826e-01,3.976902e-01,9.655115e-01,7.166929e-01,8.248071e-01,4.736164e-01,6.388930e-01,6.411773e-01,6.195914e-01,5.928226e-01,4.158088e-01,8.649414e-01,7.113654e-01,4.665003e-01,3.212094e-01,8.067598e-01,5.828930e-01,2.206181e-01,1.571545e-01,8.592351e-01,6.799714e-01,1.589347e-01,7.517836e-01,8.662966e-01,9.601345e-01,6.875757e-01,2.466833e-01,5.718554e-02,8.505673e-01,3.836275e-01,2.884340e-01,9.242234e-01,6.673853e-01,8.460494e-01,2.434367e-02,1.325606e-01,1.576116e-01,6.179170e-01,8.509098e-01,2.584090e-01,8.348828e-02,5.149250e-01,2.478119e-01,5.643464e-01,7.934792e-02
9.358929e-01,9.087386e-01,4.344324e-01,8.064985e-01,4.229896e-01,6.843927e-02,9.200236e-01,8.972548e-01,7.538611e-02,7.821474e-01,8.218401e-01,8.029899e-01,3.238364e-01,9.670702e-01,5.241579e-01,2.035413e-01,7.672318e-01,4.401120e-01,3.410922e-01,6.410085e-01,5.357726e-01,6.721213e-01,8.386547e-01,4.882057e-01,6.293823e-01,7.238272e-01,4.985632e-01,1.881745e-01,8.167216e-01,2.933366e-01,7.360782e-01,6.838804e-01,7.643558e-01,3.268867e-01,4.561979e-01,6.562897e-01,3.797475e-01,5.050821e-01,5.680597e-01,3.775589e-01,5.146966e-01,6.678475e-01,2.994882e-01,7.152250e-01,2.929948e-01,3.631575e-01,5.637115e-01,9.965656e-01,5.407824e-02,1.775383e-01
2.830060e-01,6.716601e-01,5.051701e-01,1.083768e-01,3.116668e-01,4.201219e-01,9.424773e-02,4.914052e-01,8.757719e-01,2.276625e-01,1.190806e-01,9.798838e-01,3.921114e-01,4.851090e-01,2.062984e-01,1.342941e-01,2.754585e-01,5.496515e-02,3.448025e-01,1.106213e-01,7.672868e-02,1.440743e-01,3.261324e-01,9.894900e-01,8.380463e-01,4.427749e-01,5.471355e-01,6.130542e-01,8.004388e-01,4.537970e-01,8.909830e-01,7.632563e-01,5.040680e-01,3.835497e-01,7.831482e-01,4.377780e-01,2.521951e-01,2.835558e-01,2.890313e-01,1.056677e-01,5.005498e-01,9.761664e-01,2.204211e-01,1.642879e-01,8.640004e-01,5.162829e-01,2.942531e-01,1.823979e-01,6.485177e-01,7.225131e-01
2.554309e-01,4.326153e-01,3.657426e-02,7.286869e-01,3.847500e-01,8.336773e-01,1.598111e-01,7.096531e-01,4.891379e-01,5.660716e-01,5.860849e-01,6.813296e-01,2.043831e-01,6.552975e-01,2.350530e-01,8.594512e-02,8.735243e-01,9.470302e-01,7.242076e-01,7.782126e-01,3.295322e-01,9.713775e-01,1.916340e-01,8.082681e-01,9.607274e-01,6.986030e-01,1.304103e-02,6.811455e-01,6.648456e-01,8.996140e-02,6.079168e-01,7.173860e-01,8.533608e-01,9.777969e-01,5.600476e-01,4.241060e-01,6.369490e-01,6.747675e-01,5.370567e-01,1.908393e-01,6.536926e-01,7.509352e-01,1.552004e-01,4.966350e-01,3.380505e-01,3.081796e-01,5.519734e-01,5.373627e-02,8.978736e-01,4.820821e-01
4.800650e-01,6.480754e-01,1.440380e-01,2.111888e-01,3.477483e-01,5.473877e-01,8.709847e-01,2.247334e-01,2.032670e-01,2.308038e-02,4.368111e-01,3.748296e-01,4.261512e-02,7.633623e-01,8.209573e-01,6.906545e-01,1.251178e-01,9.600073e-01,5.303451e-01,1.339055e-01,9.129597e-01,6.846793e-01,7.856768e-03,6.161590e-02,1.619234e-02,2.207218e-02,9.828662e-02,5.012300e-01,3.190319e-01,6.612687e-01,6.662419e-01,5.155555e-01,4.963571e-01,2.550933e-01,2.414340e-01,1.808239e-01,8.949753e-01,9.637357e-01,2.322765e-01,3.968350e-01,1.227095e-01,9.366952e-02,5.021204e-01,2.325347e-03,9.230251e-01,2.509772e-01,4.095198e-01,9.835211e-02,6.444181e-01,3.487149e-01
8.455155e-02,8.320587e-01,8.393621e-01,2.663040e-01,9.090434e-01,6.384176e-01,1.733477e-01,4.812386e-01,5.418679e-01,9.178567e-01,5.613706e-01,8.968736e-01,5.161230e-01,4.283200e-01,4.494800e-01,3.258748e-01,9.223236e-01,1.799651e-01,5.781899e-01,1.970070e-01,8.445207e-01,5.607437e-01,7.341566e-01,6.276528e-01,4.938298e-01,7.097423e-03,9.848552e-02,9.947741e-01,2.732281e-01,6.638693e-02,1.786597e-01,9.562285e-01,3.784259e-01,1.674764e-02,2.326193e-01,7.723526e-01,7.539488e-01,3.038402e-01,2.466792e-01,7.785109e-01,9.389140e-01,3.986829e-01,9.583625e-02,5.727662e-01,7.984519e-01,1.403536e-01,4.407844e-01,4.816696e-02,8.439304e-01,7.644422e-01
4.008988e-01,9.252908e-02,1.454283e-01,7.467898e-01,9.519157e-01,6.976036e-01,3.751720e-01,8.733764e-02,1.318525e-02,9.608373e-01,6.758350e-01,2.259922e-01,3.940208e-01,4.701905e-01,7.382065e-02,8.220214e-02,1.290533e-01,8.003850e-01,6.235789e-01,4.333824e-01,7.341147e-01,2.530575e-02,6.362460e-01,2.829678e-01,1.053015e-01,5.699347e-01,8.200435e-01,3.115144e-01,8.811892e-02,9.838004e-01,8.832234e-01,5.780081e-01,6.348471e-01,3.192964e-01,5.995875e-01,5.307327e-01,8.006545e-01,8.799262e-01,2.556133e-01,2.045803e-01,2.425285e-01,1.514197e-02,6.727056e-01,5.790333e-01,4.168663e-01,7.918765e-01,4.089564e-01,8.741738e-02,4.227396e-01,4.950986e-01
3.611603e-01,8.454046e-01,4.615567e-01,8.644012e-02,8.000989e-01,9.223315e-01,9.714030e-01,5.457705e-01,5.631355e-02,6.189283e-01,5.608454e-02,5.903938e-01,1.110783e-01,4.971256e-01,4.699662e-01,8.696188e-02,6.972254e-01,2.361951e-01,9.073120e-01,5.958056e-01,2.073825e-01,8.700533e-02,4.906531e-01,6.232474e-01,8.716104e-01,7.328262e-01,2.605955e-01,9.285121e-01,2.008093e-01,2.645505e-01,3.748129e-01,9.551395e-01,9.851768e-01,3.472287e-01,3.062057e-02,3.961386e-02,2.839449e-01,3.062367e-02,3.549244e-01,8.503480e-01,3.035011e-01,4.875481e-01,7.888484e-01,4.740958e-01,6.626037e-01,6.610347e-01,4.715970e-01,8.814328e-01,7.543888e-02,7.113227e-02
